activity_id,activity_name,category,planned_start,planned_end,planned_duration_days,predecessor,status,planned_quantity_percent,current_actual_percent,unit,project_id,data_type,source_file
F05-A008,Foundation Backfilling - Phase 2,Foundation,2026-09-06,2026-09-14,9,F05-A001,In Progress,100,45,m³,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A011,Road Delineator Installation - Phase 1,Road,2026-09-07,2026-09-12,6,F05-A008,Not Started,100,0,Nos,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A023,Road Shoulder Construction - Chainage 0-500,Road,2026-09-12,2026-09-23,12,F05-A016,In Progress,100,90,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A030,Drainage Chamber Waterproofing - Zone C,Drainage,2026-09-15,2026-09-17,3,F05-A016,Not Started,100,0,m²,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A013,Road Kerb Laying - Zone C,Road,2026-09-16,2026-09-18,3,F05-A009,In Progress,100,84,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A009,Structural Column Reinforcement - Phase 2,Structural,2026-09-18,2026-09-22,5,F05-A007,Not Started,100,0,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A010,Finishing Kerb Painting - Chainage 500-1000,Finishing,2026-09-18,2026-09-20,3,F05-A009,In Progress,100,26,m²,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A003,Utility Utility Chamber Construction - Phase 2,Utility,2026-09-23,2026-10-06,14,F05-A001,In Progress,100,37,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A026,Earthwork Excavation - Phase 2,Earthwork,2026-09-23,2026-09-24,2,F05-A005,In Progress,100,29,m³,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A025,Site Temporary Drainage - Package 2,Site,2026-09-25,2026-10-05,11,F05-A005,At Risk,100,27,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F06-A030,Landscaping Topsoil Placement - Package 2,Landscaping,2026-08-14,2026-08-21,8,F06-A003,Not Started,100,0,m³,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A009,Earthwork Surplus Soil Disposal - South Section,Earthwork,2026-08-15,2026-08-28,14,F06-A006,In Progress,100,48,m³,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A012,Structural Slab Reinforcement - Chainage 500-1000,Structural,2026-08-17,2026-08-28,12,F06-A001,Completed,100,100,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A020,Structural Retaining Wall Concreting - Chainage 0-500,Structural,2026-08-17,2026-08-18,2,F06-A015,In Progress,100,43,m³,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A005,Site Traffic Access Setup - Package 3,Site,2026-08-21,2026-08-21,1,F06-A003,At Risk,100,84,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A007,Utility Water Pressure Testing - South Section,Utility,2026-08-21,2026-08-28,8,F06-A003,In Progress,100,80,Nos,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A001,Quality Weld Inspection - Zone B,Quality,2026-08-23,2026-08-29,7,—,Completed,100,97,Nos,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A015,Quality Pipeline CCTV Inspection - Package 3,Quality,2026-08-23,2026-09-01,10,F06-A005,At Risk,100,34,Nos,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A023,Rehabilitation Concrete Rehabilitation - Package 1,Rehabilitation,2026-08-24,2026-09-03,11,F06-A005,Completed,100,96,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A011,Structural Slab Formwork - West Section,Structural,2026-08-25,2026-09-07,14,F06-A009,In Progress,100,76,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A025,Earthwork Soil Replacement - Chainage 500-1000,Earthwork,2026-08-26,2026-08-29,4,F06-A014,In Progress,100,37,m³,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A010,Utility Sewer Manhole Construction - North Section,Utility,2026-08-29,2026-09-03,6,F06-A003,In Progress,100,69,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A006,Drainage Manhole Construction - Phase 1,Drainage,2026-08-30,2026-09-08,10,F06-A005,Completed,100,100,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A002,Site Demobilization - Chainage 0-500,Site,2026-09-03,2026-09-16,14,F06-A001,In Progress,100,26,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A016,Safety Traffic Diversion - Phase 3,Safety,2026-09-03,2026-09-15,13,F06-A015,At Risk,100,29,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A014,Demolition Existing Lighting Removal - Chainage 0-500,Demolition,2026-09-04,2026-09-12,9,F06-A012,In Progress,100,85,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A003,Structural Protective Painting - Phase 3,Structural,2026-09-05,2026-09-17,13,F06-A002,Completed,100,99,m²,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A013,Site Clearance - South Section,Site,2026-09-06,2026-09-19,14,F06-A006,Completed,100,96,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A029,Quality Pavement Thickness Verification - South Section,Quality,2026-09-06,2026-09-17,12,F06-A021,In Progress,100,80,m²,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A026,Road Footpath Tile Laying - East Section,Road,2026-09-10,2026-09-16,7,F06-A001,Not Started,100,0,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A019,Site Temporary Lighting - North Section,Site,2026-09-12,2026-09-13,2,F06-A017,In Progress,100,60,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A027,Electrical Feeder Cable Laying - South Section,Electrical,2026-09-12,2026-09-19,8,F06-A017,Completed,100,96,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A022,Structural Expansion Joint Installation - Phase 2,Structural,2026-09-15,2026-09-24,10,F06-A009,At Risk,100,30,Nos,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A008,Electrical Streetlight Pole Installation - North Section,Electrical,2026-09-17,2026-09-24,8,F06-A003,Completed,100,98,Nos,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A021,Foundation Pedestal Concreting - South Section,Foundation,2026-09-18,2026-09-18,1,F06-A018,In Progress,100,84,m³,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A028,Structural Steel Structure Erection - Zone C,Structural,2026-09-18,2026-09-24,7,F06-A004,Not Started,100,0,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A004,Site Preparation - South Section,Site,2026-09-20,2026-09-22,3,F06-A001,Completed,100,96,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A017,Foundation Formwork - Package 1,Foundation,2026-09-20,2026-09-25,6,F06-A009,Not Started,100,0,m,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A018,Road Signboard Installation - South Section,Road,2026-09-22,2026-10-04,13,F06-A008,Not Started,100,0,Nos,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F06-A024,Landscaping Turf Installation - Chainage 500-1000,Landscaping,2026-09-27,2026-10-10,14,F06-A018,In Progress,100,27,Nos,INFRA-06,synthetic_demo_data,Infrastructure_Schedule_06.xlsx
F07-A020,Site Temporary Power Supply - South Section,Site,2026-08-15,2026-08-17,3,F07-A005,In Progress,100,73,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A022,Road Shoulder Construction - East Section,Road,2026-08-20,2026-08-23,4,F07-A018,Completed,100,98,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A027,Structural Protective Painting - West Section,Structural,2026-08-21,2026-08-26,6,F07-A007,Completed,100,100,m²,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A005,Road Asphalt Patching - Zone C,Road,2026-08-22,2026-08-26,5,F07-A001,Completed,100,97,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A007,Demolition Existing Pavement Removal - Phase 1,Demolition,2026-08-26,2026-09-05,11,F07-A003,Completed,100,97,m²,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A003,Structural Column Reinforcement - Phase 1,Structural,2026-08-27,2026-09-01,6,F07-A002,Not Started,100,0,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A012,Quality Pavement Thickness Verification - Phase 2,Quality,2026-08-29,2026-09-08,11,F07-A001,Completed,100,97,m²,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A023,Landscaping Irrigation Line Installation - East Section,Landscaping,2026-08-29,2026-09-08,11,F07-A007,At Risk,100,58,Nos,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A009,Road Thermoplastic Marking - Chainage 500-1000,Road,2026-08-30,2026-09-06,8,F07-A006,In Progress,100,40,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A010,Site Survey - Package 1,Site,2026-08-30,2026-09-05,7,F07-A007,In Progress,100,53,Nos,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A014,Finishing Internal Plaster Finishing - West Section,Finishing,2026-09-01,2026-09-11,11,F07-A013,In Progress,100,87,m²,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A028,Quality Aggregate Gradation Testing - Phase 2,Quality,2026-09-01,2026-09-06,6,F07-A018,At Risk,100,74,Nos,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A008,Drainage RCC Drain Construction - Phase 3,Drainage,2026-09-04,2026-09-16,13,F07-A002,In Progress,100,33,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A024,Landscaping Lawn Preparation - Chainage 500-1000,Landscaping,2026-09-04,2026-09-10,7,F07-A022,In Progress,100,90,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A006,Foundation Pile Cage Installation - South Section,Foundation,2026-09-05,2026-09-17,13,F07-A002,In Progress,100,69,Nos,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A018,Site Temporary Drainage - Chainage 0-500,Site,2026-09-05,2026-09-13,9,F07-A011,In Progress,100,45,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A004,Electrical Panel Functional Testing - West Section,Electrical,2026-09-08,2026-09-19,12,F07-A001,Not Started,100,0,Nos,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A015,Road Footpath PCC - Zone A,Road,2026-09-09,2026-09-21,13,F07-A003,Not Started,100,0,m³,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A019,Quality Road Level Survey - Zone A,Quality,2026-09-09,2026-09-11,3,F07-A017,Completed,100,96,Nos,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A001,Drainage Manhole Construction - South Section,Drainage,2026-09-10,2026-09-13,4,—,In Progress,100,52,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A011,Structural Beam Concreting - Package 2,Structural,2026-09-10,2026-09-17,8,F07-A007,Not Started,100,0,m³,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A025,Electrical Control Panel Installation - Package 2,Electrical,2026-09-14,2026-09-17,4,F07-A021,Completed,100,96,Nos,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A029,Utility Water Pipeline Disinfection - Zone C,Utility,2026-09-15,2026-09-15,1,F07-A004,Completed,100,96,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A030,Road Crash Barrier Installation - North Section,Road,2026-09-15,2026-09-22,8,F07-A029,At Risk,100,54,Nos,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A013,Safety Traffic Diversion - Zone A,Safety,2026-09-16,2026-09-27,12,F07-A003,At Risk,100,67,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A016,Utility Sewer Pipeline Trenching - Chainage 500-1000,Utility,2026-09-16,2026-09-27,12,F07-A001,Not Started,100,0,m,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A002,Foundation Anchor Bolt Installation - Phase 2,Foundation,2026-09-17,2026-09-30,14,F07-A001,In Progress,100,17,Nos,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A021,Finishing Floor Tile Installation - Zone B,Finishing,2026-09-18,2026-09-23,6,F07-A010,Completed,100,97,Nos,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A026,Structural Protective Painting - Zone C,Structural,2026-09-26,2026-10-05,10,F07-A019,Not Started,100,0,m²,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F07-A017,Drainage Trench Excavation - Chainage 500-1000,Drainage,2026-09-27,2026-10-04,8,F07-A016,At Risk,100,20,m³,INFRA-07,synthetic_demo_data,Infrastructure_Schedule_07.xlsx
F08-A012,Road Paver Block Installation - North Section,Road,2026-08-18,2026-08-19,2,F08-A002,In Progress,100,70,Nos,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A019,Earthwork Soil Replacement - Package 3,Earthwork,2026-08-19,2026-08-31,13,F08-A013,Not Started,100,0,m³,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A024,Quality Workfront Handover Inspection - Package 2,Quality,2026-08-20,2026-08-24,5,F08-A002,Completed,100,98,Nos,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A001,Finishing Final Cleaning - Phase 3,Finishing,2026-08-21,2026-08-28,8,—,In Progress,100,29,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A011,Road Delineator Installation - Zone C,Road,2026-08-22,2026-09-01,11,F08-A008,Completed,100,97,Nos,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A021,Drainage Chamber Waterproofing - Package 2,Drainage,2026-08-24,2026-09-03,11,F08-A013,Not Started,100,0,m²,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A008,Structural Column Reinforcement - South Section,Structural,2026-08-26,2026-08-31,6,F08-A001,In Progress,100,70,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A015,Drainage Desilting - South Section,Drainage,2026-08-26,2026-08-31,6,F08-A014,In Progress,100,41,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A025,Rehabilitation Concrete Rehabilitation - Package 3,Rehabilitation,2026-08-26,2026-08-29,4,F08-A002,In Progress,100,44,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A029,Site Temporary Lighting - East Section,Site,2026-08-26,2026-08-31,6,F08-A020,Not Started,100,0,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A017,Electrical Panel Functional Testing - North Section,Electrical,2026-08-29,2026-09-09,12,F08-A011,In Progress,100,57,Nos,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A006,Road Subgrade Preparation - Phase 3,Road,2026-08-30,2026-09-07,9,F08-A002,In Progress,100,86,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A028,Site Welfare Facility Setup - Zone C,Site,2026-08-31,2026-09-11,12,F08-A024,Completed,100,96,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A004,Structural Beam Formwork - Zone A,Structural,2026-09-02,2026-09-07,6,F08-A001,In Progress,100,80,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A022,Quality Drawing Verification - Phase 3,Quality,2026-09-05,2026-09-17,13,F08-A018,In Progress,100,48,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A023,Foundation Pile Cage Installation - Package 2,Foundation,2026-09-06,2026-09-15,10,F08-A010,In Progress,100,89,Nos,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A007,Site Access Road Construction - Phase 3,Site,2026-09-11,2026-09-20,10,F08-A001,At Risk,100,58,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A016,Site Clearance - Phase 2,Site,2026-09-12,2026-09-13,2,F08-A011,In Progress,100,45,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A014,Road Asphalt Patching - Zone A,Road,2026-09-14,2026-09-26,13,F08-A003,At Risk,100,28,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A020,Foundation Pile Bore Excavation - South Section,Foundation,2026-09-14,2026-09-16,3,F08-A007,Not Started,100,0,m³,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A003,Finishing Internal Plaster Finishing - Package 2,Finishing,2026-09-15,2026-09-21,7,F08-A001,Not Started,100,0,m²,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A013,Foundation Pedestal Concreting - Chainage 0-500,Foundation,2026-09-16,2026-09-17,2,F08-A002,Completed,100,96,m³,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A010,Finishing Wall Tile Installation - Phase 2,Finishing,2026-09-17,2026-09-18,2,F08-A008,In Progress,100,73,Nos,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A018,Foundation Pile Bore Excavation - North Section,Foundation,2026-09-17,2026-09-21,5,F08-A003,Not Started,100,0,m³,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A005,Demolition Existing Fence Removal - Phase 2,Demolition,2026-09-18,2026-09-22,5,F08-A004,In Progress,100,76,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A027,Structural Beam Concreting - Chainage 0-500,Structural,2026-09-19,2026-09-26,8,F08-A019,Not Started,100,0,m³,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A009,Utility Stormwater Pipeline Laying - North Section,Utility,2026-09-21,2026-09-24,4,F08-A004,Completed,100,98,m,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A026,Electrical Cable Tray Installation - Package 2,Electrical,2026-09-24,2026-10-06,13,F08-A011,Not Started,100,0,Nos,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A030,Structural Surface Repair - South Section,Structural,2026-09-26,2026-10-08,13,F08-A015,At Risk,100,63,m²,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F08-A002,Site Security Cabin Setup - East Section,Site,2026-10-01,2026-10-05,5,F08-A001,Completed,100,97,Nos,INFRA-08,synthetic_demo_data,Infrastructure_Schedule_08.xlsx
F09-A014,Structural Beam Formwork - Chainage 500-1000,Structural,2026-08-21,2026-08-22,2,F09-A006,Not Started,100,0,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A016,Foundation PCC - North Section,Foundation,2026-08-21,2026-09-03,14,F09-A010,In Progress,100,30,m³,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A024,Utility Marker Installation - North Section,Utility,2026-08-21,2026-08-30,10,F09-A016,In Progress,100,47,Nos,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A025,Electrical Lightning Protection - Phase 1,Electrical,2026-08-21,2026-09-01,12,F09-A012,At Risk,100,71,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A005,Drainage Outfall Protection - South Section,Drainage,2026-08-24,2026-08-29,6,F09-A002,In Progress,100,87,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A028,Rehabilitation Existing Road Resurfacing - Phase 3,Rehabilitation,2026-08-24,2026-08-29,6,F09-A019,In Progress,100,72,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A002,Electrical Streetlight Luminaire Installation - North Section,Electrical,2026-08-26,2026-09-08,14,F09-A001,Not Started,100,0,Nos,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A020,Utility Shifting Coordination - North Section,Utility,2026-08-26,2026-09-08,14,F09-A004,Not Started,100,0,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A009,Structural Structural Bolt Tightening - Phase 2,Structural,2026-08-27,2026-08-31,5,F09-A007,In Progress,100,81,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A019,Road Tack Coat Application - Zone C,Road,2026-08-27,2026-09-04,9,F09-A011,Completed,100,99,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A011,Utility Water Pressure Testing - Zone C,Utility,2026-08-30,2026-09-11,13,F09-A006,Not Started,100,0,Nos,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A004,Quality Concrete Slump Testing - Package 2,Quality,2026-09-01,2026-09-10,10,F09-A001,Completed,100,99,Nos,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A008,Quality Aggregate Gradation Testing - Zone A,Quality,2026-09-05,2026-09-17,13,F09-A006,Completed,100,99,Nos,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A023,Utility Stormwater Pipeline Laying - South Section,Utility,2026-09-06,2026-09-11,6,F09-A019,Not Started,100,0,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A001,Finishing Door Installation - Phase 1,Finishing,2026-09-07,2026-09-18,12,—,In Progress,100,69,Nos,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A027,Drainage Culvert Construction - Package 1,Drainage,2026-09-07,2026-09-08,2,F09-A023,In Progress,100,63,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A003,Foundation Excavation - Zone B,Foundation,2026-09-08,2026-09-12,5,F09-A001,In Progress,100,56,m³,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A007,Road Dense Bituminous Macadam - Package 1,Road,2026-09-08,2026-09-19,12,F09-A001,In Progress,100,46,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A010,Road Bituminous Concrete Layer - South Section,Road,2026-09-08,2026-09-08,1,F09-A004,Not Started,100,0,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A029,Structural Retaining Wall Concreting - South Section,Structural,2026-09-10,2026-09-20,11,F09-A027,Completed,100,96,m³,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A006,Electrical Streetlight Luminaire Installation - Chainage 500-1000,Electrical,2026-09-13,2026-09-21,9,F09-A002,In Progress,100,33,Nos,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A026,Drainage Culvert Construction - Phase 3,Drainage,2026-09-13,2026-09-14,2,F09-A016,In Progress,100,57,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A012,Foundation Pedestal Formwork - Zone B,Foundation,2026-09-20,2026-09-25,6,F09-A002,Completed,100,96,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A013,Site Security Cabin Setup - Package 1,Site,2026-09-21,2026-10-04,14,F09-A010,Not Started,100,0,Nos,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A021,Utility Water Valve Chamber Construction - Package 3,Utility,2026-09-21,2026-09-23,3,F09-A018,Completed,100,96,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A022,Utility Crossing Protection - Zone C,Utility,2026-09-23,2026-10-04,12,F09-A015,In Progress,100,50,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A030,Demolition Existing Kerb Removal - Chainage 500-1000,Demolition,2026-09-24,2026-09-29,6,F09-A029,Completed,100,100,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A017,Earthwork Selected Fill Placement - Phase 1,Earthwork,2026-09-26,2026-09-28,3,F09-A003,In Progress,100,48,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A018,Utility Water Pipeline Laying - North Section,Utility,2026-09-30,2026-10-06,7,F09-A017,In Progress,100,45,m,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F09-A015,Utility Utility Duct Installation - Phase 1,Utility,2026-10-01,2026-10-07,7,F09-A001,In Progress,100,19,Nos,INFRA-09,synthetic_demo_data,Infrastructure_Schedule_09.xlsx
F10-A009,Structural Steel Structure Erection - Zone B,Structural,2026-08-22,2026-08-22,1,F10-A008,Not Started,100,0,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A012,Utility Service Connection - West Section,Utility,2026-08-23,2026-09-01,10,F10-A009,In Progress,100,73,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A011,Site Security Cabin Setup - Chainage 500-1000,Site,2026-08-24,2026-08-25,2,F10-A003,In Progress,100,18,Nos,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A014,Utility Sewer Pipeline Laying - Package 2,Utility,2026-08-24,2026-09-05,13,F10-A007,Completed,100,99,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A007,Quality Final Work Inspection - West Section,Quality,2026-08-25,2026-08-31,7,F10-A003,At Risk,100,38,Nos,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A028,Utility Shifting Coordination - Chainage 500-1000,Utility,2026-08-29,2026-08-31,3,F10-A026,In Progress,100,31,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A001,Structural Steel Member Fabrication - East Section,Structural,2026-08-30,2026-09-11,13,—,Not Started,100,0,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A010,Finishing Wall Tile Installation - Zone B,Finishing,2026-09-02,2026-09-15,14,F10-A001,Not Started,100,0,Nos,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A013,Demolition Existing Structure Demolition - Phase 1,Demolition,2026-09-02,2026-09-04,3,F10-A001,Completed,100,98,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A017,Quality Pre-Construction Inspection - West Section,Quality,2026-09-02,2026-09-10,9,F10-A008,Not Started,100,0,Nos,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
F10-A023,Rehabilitation Concrete Rehabilitation - Phase 1,Rehabilitation,2026-09-02,2026-09-07,6,F10-A007,In Progress,100,78,m,INFRA-10,synthetic_demo_data,Infrastructure_Schedule_10.xlsx
